country,co2_emmission_all,food_category,consumption,co2_emmission
El Salvador,434.04,Beef,5.95,183.6
El Salvador,434.04,Lamb & Goat,0.02,0.7
El Salvador,434.04,Fish,6.25,9.98
El Salvador,434.04,Eggs,9.51,8.739999999999998
El Salvador,434.04,Milk - inc. cheese,124.34,177.11
El Salvador,434.04,Wheat and Wheat Products,28.19,5.38
El Salvador,434.04,Rice,10.53,13.48
El Salvador,434.04,Soybeans,0.8,0.36
El Salvador,434.04,Nuts inc. Peanut Butter,1.1,1.95
Estonia,830.72,Pork,29.68,105.05
Estonia,830.72,Poultry,21.110000000000003,22.68
Estonia,830.72,Beef,7.19,221.87
Estonia,830.72,Lamb & Goat,0.44,15.41
Estonia,830.72,Fish,12.78,20.41
Estonia,830.72,Eggs,12.66,11.63
Estonia,830.72,Milk - inc. cheese,284.85,405.74
Estonia,830.72,Wheat and Wheat Products,89.36,17.04
Estonia,830.72,Rice,2.56,3.28
Estonia,830.72,Soybeans,0.04,0.02
Estonia,830.72,Nuts inc. Peanut Butter,4.29,7.59
Ethiopia,241.92,Pork,0.02,0.07
Ethiopia,241.92,Poultry,0.6599999999999999,0.71
Ethiopia,241.92,Beef,3.61,111.4
Ethiopia,241.92,Lamb & Goat,1.57,54.98
Ethiopia,241.92,Fish,0.24,0.38
Ethiopia,241.92,Eggs,0.36,0.3299999999999999
Ethiopia,241.92,Milk - inc. cheese,44.14,62.87
Ethiopia,241.92,Wheat and Wheat Products,31.26,5.96
Ethiopia,241.92,Rice,2.25,2.88
Ethiopia,241.92,Soybeans,0.45,0.2
Ethiopia,241.92,Nuts inc. Peanut Butter,1.21,2.14
Fiji,716.0899999999999,Pork,4.31,15.26
Fiji,716.0899999999999,Poultry,20.26,21.76
Fiji,716.0899999999999,Beef,8.96,276.48999999999995
Fiji,716.0899999999999,Lamb & Goat,5.9,206.62
Fiji,716.0899999999999,Fish,35.01,55.9
Fiji,716.0899999999999,Eggs,6.44,5.92
Fiji,716.0899999999999,Milk - inc. cheese,40.2,57.260000000000005
Fiji,716.0899999999999,Wheat and Wheat Products,84.22,16.06
Fiji,716.0899999999999,Rice,45.620000000000005,58.38
Fiji,716.0899999999999,Soybeans,0.3,0.14
Fiji,716.0899999999999,Nuts inc. Peanut Butter,1.3,2.3
Finland,1464.63,Pork,36.14,127.92
Finland,1464.63,Poultry,19.87,21.34
Finland,1464.63,Beef,19.22,593.09
Finland,1464.63,Lamb & Goat,0.53,18.56
Finland,1464.63,Fish,33.8,53.97
Finland,1464.63,Eggs,9.55,8.77
Finland,1464.63,Milk - inc. cheese,430.76,613.57
Finland,1464.63,Wheat and Wheat Products,81.99000000000001,15.64
Finland,1464.63,Rice,4.42,5.659999999999999
Finland,1464.63,Soybeans,0.08,0.04
Finland,1464.63,Nuts inc. Peanut Butter,3.43,6.07
France,1420.05,Pork,33.05,116.98
France,1420.05,Poultry,22.93,24.630000000000003
France,1420.05,Beef,23.81,734.73
France,1420.05,Lamb & Goat,3.28,114.87
France,1420.05,Fish,22.91,36.58
France,1420.05,Eggs,13.13,12.06
France,1420.05,Milk - inc. cheese,241.31,343.72
France,1420.05,Wheat and Wheat Products,108.43,20.68
France,1420.05,Rice,4.88,6.24
France,1420.05,Soybeans,0.05,0.02
France,1420.05,Nuts inc. Peanut Butter,5.39,9.54
French Polynesia,1424.69,Pork,14.75,52.21
French Polynesia,1424.69,Poultry,49.55,53.23
French Polynesia,1424.69,Beef,30.9,953.51
French Polynesia,1424.69,Lamb & Goat,2.83,99.11
French Polynesia,1424.69,Fish,38.95,62.190000000000005
French Polynesia,1424.69,Eggs,8.75,8.04
French Polynesia,1424.69,Milk - inc. cheese,93.56,133.26999999999998
French Polynesia,1424.69,Wheat and Wheat Products,68.66999999999999,13.1
French Polynesia,1424.69,Rice,35.59,45.54
French Polynesia,1424.69,Soybeans,0.77,0.35
French Polynesia,1424.69,Nuts inc. Peanut Butter,2.34,4.14
Gambia,293.66,Pork,0.18,0.64
Gambia,293.66,Poultry,2.66,2.86
Gambia,293.66,Beef,2.16,66.64999999999999
Gambia,293.66,Lamb & Goat,0.71,24.86
Gambia,293.66,Fish,23.130000000000003,36.93
Gambia,293.66,Eggs,0.99,0.91
Gambia,293.66,Milk - inc. cheese,45.71,65.11
Gambia,293.66,Wheat and Wheat Products,37.91,7.23
Gambia,293.66,Rice,61.84,79.14
Gambia,293.66,Soybeans,0.0,0.0
Gambia,293.66,Nuts inc. Peanut Butter,5.2700000000000005,9.33
Georgia,527.03,Pork,8.93,31.610000000000003
Georgia,527.03,Poultry,12.28,13.19
Georgia,527.03,Beef,6.04,186.38
Georgia,527.03,Lamb & Goat,0.63,22.06
Georgia,527.03,Fish,10.42,16.64
Georgia,527.03,Eggs,6.119999999999999,5.619999999999999
Georgia,527.03,Milk - inc. cheese,149.26,212.61
Georgia,527.03,Wheat and Wheat Products,163.43,31.17
Georgia,527.03,Rice,2.64,3.38
Georgia,527.03,Soybeans,0.0,0.0
Georgia,527.03,Nuts inc. Peanut Butter,2.47,4.37
Germany,1066.29,Pork,51.81,183.38
Germany,1066.29,Poultry,17.75,19.07
Germany,1066.29,Beef,13.16,406.09
Germany,1066.29,Lamb & Goat,0.73,25.56
Germany,1066.29,Fish,11.16,17.82
Germany,1066.29,Eggs,12.2,11.21
Germany,1066.29,Milk - inc. cheese,258.7,368.49
Germany,1066.29,Wheat and Wheat Products,83.41000000000001,15.91
Germany,1066.29,Rice,3.34,4.2700000000000005
Germany,1066.29,Soybeans,0.88,0.4
Germany,1066.29,Nuts inc. Peanut Butter,7.96,14.09
Ghana,217.87,Pork,1.36,4.81
Ghana,217.87,Poultry,8.629999999999999,9.27
Ghana,217.87,Beef,1.09,33.64
Ghana,217.87,Lamb & Goat,1.74,60.93
Ghana,217.87,Fish,26.05,41.59
Ghana,217.87,Eggs,1.21,1.11
Ghana,217.87,Milk - inc. cheese,9.08,12.93
Ghana,217.87,Wheat and Wheat Products,14.45,2.76
Ghana,217.87,Rice,32.03,40.99
Ghana,217.87,Soybeans,0.01,0.0
Ghana,217.87,Nuts inc. Peanut Butter,5.56,9.84
Greece,1497.29,Pork,28.31,100.2
Greece,1497.29,Poultry,15.739999999999998,16.91
Greece,1497.29,Beef,16.1,496.81
Greece,1497.29,Lamb & Goat,12.47,436.7
Greece,1497.29,Fish,14.42,23.02
Greece,1497.29,Eggs,10.13,9.31
Greece,1497.29,Milk - inc. cheese,255.26,363.59
Greece,1497.29,Wheat and Wheat Products,124.04,23.65
Greece,1497.29,Rice,6.64,8.5
Greece,1497.29,Soybeans,0.02,0.01
Greece,1497.29,Nuts inc. Peanut Butter,10.5,18.59
Grenada,439.85,Pork,11.52,40.78
Grenada,439.85,Poultry,43.51,46.74
Grenada,439.85,Beef,3.46,106.77
Grenada,439.85,Lamb & Goat,1.25,43.77
Grenada,439.85,Fish,27.95,44.63
Grenada,439.85,Eggs,10.34,9.5
Grenada,439.85,Milk - inc. cheese,86.88,123.75
Grenada,439.85,Wheat and Wheat Products,59.59,11.36
Grenada,439.85,Rice,9.56,12.23
Grenada,439.85,Soybeans,0.01,0.0
Grenada,439.85,Nuts inc. Peanut Butter,0.18,0.32
Guatemala,314.98,Pork,4.85,17.17
Guatemala,314.98,Poultry,16.45,17.67
Guatemala,314.98,Beef,5.6,172.8
Guatemala,314.98,Lamb & Goat,0.23,8.05
Guatemala,314.98,Fish,1.08,1.72
Guatemala,314.98,Eggs,14.61,13.42
Guatemala,314.98,Milk - inc. cheese,46.6,66.38
Guatemala,314.98,Wheat and Wheat Products,35.9,6.85
Guatemala,314.98,Rice,5.659999999999999,7.24
Guatemala,314.98,Soybeans,0.32,0.14
Guatemala,314.98,Nuts inc. Peanut Butter,2.0,3.54
Guinea,432.71,Pork,0.16,0.5700000000000001
Guinea,432.71,Poultry,1.83,1.97
Guinea,432.71,Beef,6.26,193.17
