country,food_category,consumption,co2_emmission,category
Armenia,Soybeans,0.0,0.0,Non-Animal Products
Armenia,Nuts inc. Peanut Butter,2.55,4.51,Non-Animal Products
Slovenia,Pork,28.19,99.78,Animal Products
Slovenia,Poultry,23.46,25.2,Animal Products
Slovenia,Beef,18.43,568.71,Animal Products
Slovenia,Lamb & Goat,0.7899999999999999,27.67,Animal Products
Slovenia,Fish,7.76,12.39,Animal Products
Slovenia,Eggs,9.36,8.6,Animal Products
Slovenia,Milk - inc. cheese,235.01,334.75,Animal Products
Slovenia,Wheat and Wheat Products,103.43,19.72,Non-Animal Products
Slovenia,Rice,3.95,5.05,Non-Animal Products
Slovenia,Soybeans,0.75,0.3399999999999999,Non-Animal Products
Slovenia,Nuts inc. Peanut Butter,5.28,9.35,Non-Animal Products
Chile,Pork,24.68,87.35,Animal Products
Chile,Poultry,36.52,39.23,Animal Products
Chile,Beef,23.86,736.2700000000001,Animal Products
Chile,Lamb & Goat,0.42,14.71,Animal Products
Chile,Fish,7.649999999999999,12.21,Animal Products
Chile,Eggs,9.97,9.16,Animal Products
Chile,Milk - inc. cheese,116.11,165.39,Animal Products
Chile,Wheat and Wheat Products,104.74,19.97,Non-Animal Products
Chile,Rice,8.850000000000001,11.33,Non-Animal Products
Chile,Soybeans,0.04,0.02,Non-Animal Products
Chile,Nuts inc. Peanut Butter,2.22,3.93,Non-Animal Products
Venezuela,Pork,7.23,25.59,Animal Products
Venezuela,Poultry,39.28,42.190000000000005,Animal Products
Venezuela,Beef,25.89,798.91,Animal Products
Venezuela,Lamb & Goat,0.32,11.21,Animal Products
Venezuela,Fish,8.34,13.32,Animal Products
Venezuela,Eggs,5.63,5.17,Animal Products
Venezuela,Milk - inc. cheese,117.79,167.78,Animal Products
Venezuela,Wheat and Wheat Products,49.17,9.38,Non-Animal Products
Venezuela,Rice,23.39,29.93,Non-Animal Products
Venezuela,Soybeans,0.0,0.0,Non-Animal Products
Venezuela,Nuts inc. Peanut Butter,0.35,0.62,Non-Animal Products
Belgium,Pork,38.65,136.8,Animal Products
Belgium,Poultry,12.2,13.11,Animal Products
Belgium,Beef,15.63,482.31,Animal Products
Belgium,Lamb & Goat,1.32,46.23,Animal Products
Belgium,Fish,18.97,30.29,Animal Products
Belgium,Eggs,12.59,11.57,Animal Products
Belgium,Milk - inc. cheese,236.19,336.42999999999995,Animal Products
Belgium,Wheat and Wheat Products,111.91,21.34,Non-Animal Products
Belgium,Rice,8.61,11.02,Non-Animal Products
Belgium,Soybeans,0.07,0.03,Non-Animal Products
Belgium,Nuts inc. Peanut Butter,7.319999999999999,12.96,Non-Animal Products
Germany,Pork,51.81,183.38,Animal Products
Germany,Poultry,17.75,19.07,Animal Products
Germany,Beef,13.16,406.09,Animal Products
Germany,Lamb & Goat,0.73,25.56,Animal Products
Germany,Fish,11.16,17.82,Animal Products
Germany,Eggs,12.2,11.21,Animal Products
Germany,Milk - inc. cheese,258.7,368.49,Animal Products
Germany,Wheat and Wheat Products,83.41000000000001,15.91,Non-Animal Products
Germany,Rice,3.34,4.2700000000000005,Non-Animal Products
Germany,Soybeans,0.88,0.4,Non-Animal Products
Germany,Nuts inc. Peanut Butter,7.96,14.09,Non-Animal Products
Russia,Pork,25.66,90.82,Animal Products
Russia,Poultry,27.5,29.54,Animal Products
