country,food_category,consumption,co2_emission,category,co2_emission_category,co2_emission_all,co2_emission_animal,co2_emission_non_animals,co2_emission_range
Israel,Nuts inc. Peanut Butter,7.71,13.65,Non-Animal Products,56.35,1405.71,1349.36,56.35,1000-1500
Switzerland,Pork,31.49,111.46,Animal Products,1319.96,1356.75,1319.96,36.79,1000-1500
Switzerland,Poultry,16.38,17.6,Animal Products,1319.96,1356.75,1319.96,36.79,1000-1500
Switzerland,Beef,21.26,656.04,Animal Products,1319.96,1356.75,1319.96,36.79,1000-1500
Switzerland,Lamb & Goat,1.42,49.73,Animal Products,1319.96,1356.75,1319.96,36.79,1000-1500
Switzerland,Fish,13.48,21.52,Animal Products,1319.96,1356.75,1319.96,36.79,1000-1500
Switzerland,Eggs,10.53,9.67,Animal Products,1319.96,1356.75,1319.96,36.79,1000-1500
Switzerland,Milk - inc. cheese,318.69,453.94,Animal Products,1319.96,1356.75,1319.96,36.79,1000-1500
Switzerland,Wheat and Wheat Products,89.51,17.07,Non-Animal Products,36.79,1356.75,1319.96,36.79,1000-1500
Switzerland,Rice,2.43,3.11,Non-Animal Products,36.79,1356.75,1319.96,36.79,1000-1500
Switzerland,Soybeans,0.44,0.2,Non-Animal Products,36.79,1356.75,1319.96,36.79,1000-1500
Switzerland,Nuts inc. Peanut Butter,9.27,16.41,Non-Animal Products,36.79,1356.75,1319.96,36.79,1000-1500
Netherlands,Pork,36.36,128.7,Animal Products,1261.59,1292.82,1261.59,31.230000000000004,1000-1500
Netherlands,Poultry,23.9,25.67,Animal Products,1261.59,1292.82,1261.59,31.230000000000004,1000-1500
Netherlands,Beef,17.67,545.26,Animal Products,1261.59,1292.82,1261.59,31.230000000000004,1000-1500
