country,co2_emmission_all,food_category_x,consumption,co2_emmission_x,food_category_y,co2_emmission_y
Bosnia and Herzegovina,628.1800000000001,Poultry,13.17,14.15,Animal Products,603.72
Bosnia and Herzegovina,628.1800000000001,Poultry,13.17,14.15,Non-Animal Products,24.46
Bosnia and Herzegovina,628.1800000000001,Beef,9.12,281.42,Animal Products,603.72
Bosnia and Herzegovina,628.1800000000001,Beef,9.12,281.42,Non-Animal Products,24.46
Bosnia and Herzegovina,628.1800000000001,Lamb & Goat,0.47,16.459999999999997,Animal Products,603.72
Bosnia and Herzegovina,628.1800000000001,Lamb & Goat,0.47,16.459999999999997,Non-Animal Products,24.46
Bosnia and Herzegovina,628.1800000000001,Fish,4.06,6.48,Animal Products,603.72
Bosnia and Herzegovina,628.1800000000001,Fish,4.06,6.48,Non-Animal Products,24.46
Bosnia and Herzegovina,628.1800000000001,Eggs,4.49,4.119999999999999,Animal Products,603.72
Bosnia and Herzegovina,628.1800000000001,Eggs,4.49,4.119999999999999,Non-Animal Products,24.46
Bosnia and Herzegovina,628.1800000000001,Milk - inc. cheese,174.03,247.89,Animal Products,603.72
Bosnia and Herzegovina,628.1800000000001,Milk - inc. cheese,174.03,247.89,Non-Animal Products,24.46
Bosnia and Herzegovina,628.1800000000001,Wheat and Wheat Products,93.56,17.84,Animal Products,603.72
Bosnia and Herzegovina,628.1800000000001,Wheat and Wheat Products,93.56,17.84,Non-Animal Products,24.46
Bosnia and Herzegovina,628.1800000000001,Rice,1.88,2.41,Animal Products,603.72
Bosnia and Herzegovina,628.1800000000001,Rice,1.88,2.41,Non-Animal Products,24.46
Bosnia and Herzegovina,628.1800000000001,Soybeans,1.48,0.6699999999999999,Animal Products,603.72
Bosnia and Herzegovina,628.1800000000001,Soybeans,1.48,0.6699999999999999,Non-Animal Products,24.46
Bosnia and Herzegovina,628.1800000000001,Nuts inc. Peanut Butter,2.0,3.54,Animal Products,603.72
Bosnia and Herzegovina,628.1800000000001,Nuts inc. Peanut Butter,2.0,3.54,Non-Animal Products,24.46
Botswana,576.8399999999999,Pork,0.74,2.62,Animal Products,558.0999999999999
Botswana,576.8399999999999,Pork,0.74,2.62,Non-Animal Products,18.74
Botswana,576.8399999999999,Poultry,5.33,5.73,Animal Products,558.0999999999999
Botswana,576.8399999999999,Poultry,5.33,5.73,Non-Animal Products,18.74
